"sheet","acc","kappa","mcc"
"Jelenia Góra",0.961651022516038,0.958102781839747,0.9581283898963
"Katowice",0.942673982587684,0.936157213726079,0.936230567369572
"Kraków Zachodni",0.949215162572028,0.944935126638859,0.945107012384997
"Kutno",0.957555669632098,0.952407817094992,0.952505151757146
"Nowy Targ",0.940259316643562,0.933705434283286,0.93377058204597
"Świnoujście",0.96127978648036,0.95741485451721,0.95760081403193
"Tomaszów Lubelski",0.88003863096844,0.865589649093011,0.865718677686782
"Toruń",0.912874178159701,0.908206761002438,0.908242693218684
